Nodal History,Y-displacement
Time,A708,B709,C713,D714,E718,F719,G723,H724,I728,J729,K733,L734,M738,N739,O743,P744,Q748,R749,S753,T754,U758,V759,W763,X764,Y768,Z769,AA773,AB774,AC778,AD779,AE783,AF784,AG788,AH789,AI793,AJ794,AK798,AL799,AM803,AN804,AO3,AP4,AQ8,AR9,AS13,AT14,AU18,AV19,AW23,AX24,AY28,AZ29,BA33,BB34,BC38,BD39,BE43,BF44,BG48,BH49,BI53,BJ54,BK58,BL59,BM63,BN64,BO68,BP69,BQ73,BR74,BS78,BT79,BU83,BV84,BW88,BX89,BY93,BZ94,
    2.5000000373e-02,   -2.3365020752e-05,   -2.0503997803e-05,   -2.0980834961e-05,   -1.8596649170e-05,   -1.8596649170e-05,   -1.6212463379e-05,   -1.5735626221e-05,   -1.3351440430e-05,   -1.2397766113e-05,   -1.1920928955e-05,   -8.1062316895e-06,   -1.4781951904e-05,   -1.4305114746e-05,   -2.3841857910e-05,   -2.7656555176e-05,   -4.5776367188e-05,   -4.7206878662e-05,   -7.1048736572e-05,   -7.1525573730e-05,   -9.2506408691e-05,   -8.9168548584e-05,   -6.9141387939e-05,   -6.8664550781e-05,   -4.7206878662e-05,   -4.6730041504e-05,   -2.8610229492e-05,   -2.5272369385e-05,   -1.3828277588e-05,   -1.4305114746e-05,   -1.0490417480e-05,   -1.1920928955e-05,   -1.2874603271e-05,   -1.3351440430e-05,   -1.5735626221e-05,   -1.5735626221e-05,   -1.8596649170e-05,   -1.8596649170e-05,   -2.0980834961e-05,   -2.0980834961e-05,   -2.3365020752e-05,   -3.6358833313e-06,    0.0000000000e+00,   -7.5101852417e-06,   -3.6358833313e-06,   -1.4185905457e-05,   -7.6293945312e-06,   -2.3126602173e-05,   -1.4781951904e-05,   -3.2186508179e-05,   -2.0503997803e-05,   -5.1975250244e-05,   -3.6954879761e-05,   -5.0544738770e-05,   -3.6001205444e-05,   -7.6293945312e-05,   -6.2942504883e-05,   -7.0571899414e-05,   -6.5803527832e-05,   -6.8664550781e-05,   -7.0095062256e-05,   -6.3419342041e-05,   -6.9141387939e-05,   -5.9604644775e-05,   -7.3432922363e-05,   -3.2901763916e-05,   -4.6730041504e-05,   -3.8385391235e-05,   -4.9829483032e-05,   -2.3841857910e-05,   -3.4332275391e-05,   -1.6689300537e-05,   -2.6702880859e-05,   -8.3446502686e-06,   -1.5854835510e-05,   -4.0531158447e-06,   -8.3446502686e-06,    0.0000000000e+00,   -3.9935112000e-06,
    2.7499999851e-02,   -1.1920928955e-05,   -1.2397766113e-05,   -1.2397766113e-05,   -1.2874603271e-05,   -1.2397766113e-05,   -1.3351440430e-05,   -1.2874603271e-05,   -1.3828277588e-05,   -1.2874603271e-05,   -1.5258789062e-05,   -1.1920928955e-05,   -1.9073486328e-05,   -1.8596649170e-05,   -2.8133392334e-05,   -3.0994415283e-05,   -4.4822692871e-05,   -4.5776367188e-05,   -6.1511993408e-05,   -6.2465667725e-05,   -7.9154968262e-05,   -7.5817108154e-05,   -6.1035156250e-05,   -6.0558319092e-05,   -4.5299530029e-05,   -4.4822692871e-05,   -3.0517578125e-05,   -2.7179718018e-05,   -1.8119812012e-05,   -1.8596649170e-05,   -1.2874603271e-05,   -1.4781951904e-05,   -1.3351440430e-05,   -1.3828277588e-05,   -1.3351440430e-05,   -1.3828277588e-05,   -1.3351440430e-05,   -1.3351440430e-05,   -1.2874603271e-05,   -1.2874603271e-05,   -1.2397766113e-05,   -4.7087669373e-06,    0.0000000000e+00,   -9.4175338745e-06,   -4.7683715820e-06,   -1.6927719116e-05,   -9.4175338745e-06,   -2.6702880859e-05,   -1.7642974854e-05,   -3.6239624023e-05,   -2.4318695068e-05,   -5.4836273193e-05,   -4.1246414185e-05,   -5.0067901611e-05,   -3.8623809814e-05,   -7.0095062256e-05,   -6.1988830566e-05,   -5.9127807617e-05,   -5.8650970459e-05,   -5.7220458984e-05,   -5.7697296143e-05,   -5.6266784668e-05,   -5.8174133301e-05,   -5.7697296143e-05,   -6.7234039307e-05,   -3.4570693970e-05,   -4.5776367188e-05,   -4.1246414185e-05,   -5.1736831665e-05,   -2.6464462280e-05,   -3.6954879761e-05,   -1.8835067749e-05,   -2.9087066650e-05,   -9.7751617432e-06,   -1.7881393433e-05,   -4.7683715820e-06,   -9.7751617432e-06,    0.0000000000e+00,   -4.7087669373e-06,
    2.9999999329e-02,   -1.4781951904e-05,   -1.5258789062e-05,   -1.5258789062e-05,   -1.5735626221e-05,   -1.5735626221e-05,   -1.6212463379e-05,   -1.5735626221e-05,   -1.7166137695e-05,   -1.6212463379e-05,   -1.9073486328e-05,   -1.5258789062e-05,   -2.6226043701e-05,   -2.5749206543e-05,   -3.8623809814e-05,   -4.2438507080e-05,   -6.1511993408e-05,   -6.2465667725e-05,   -8.2015991211e-05,   -8.2969665527e-05,   -1.0013580322e-04,   -9.6797943115e-05,   -8.0585479736e-05,   -8.0108642578e-05,   -6.1511993408e-05,   -6.1511993408e-05,   -4.3392181396e-05,   -4.0531158447e-05,   -2.6702880859e-05,   -2.7179718018e-05,   -1.7642974854e-05,   -1.9550323486e-05,   -1.7166137695e-05,   -1.7166137695e-05,   -1.5735626221e-05,   -1.5735626221e-05,   -1.5258789062e-05,   -1.5258789062e-05,   -1.4305114746e-05,   -1.4305114746e-05,   -1.3351440430e-05,   -5.6028366089e-06,    0.0000000000e+00,   -1.1205673218e-05,   -5.6624412537e-06,   -2.0384788513e-05,   -1.1324882507e-05,   -3.1948089600e-05,   -2.0980834961e-05,   -4.4107437134e-05,   -2.9802322388e-05,   -6.6041946411e-05,   -4.9114227295e-05,   -6.4849853516e-05,   -5.0067901611e-05,   -8.8691711426e-05,   -7.7247619629e-05,   -8.0585479736e-05,   -7.7724456787e-05,   -7.8678131104e-05,   -7.9631805420e-05,   -7.5340270996e-05,   -7.9154968262e-05,   -7.3432922363e-05,   -8.6307525635e-05,   -4.7206878662e-05,   -6.1035156250e-05,   -5.0544738770e-05,   -6.3896179199e-05,   -3.2901763916e-05,   -4.6253204346e-05,   -2.2649765015e-05,   -3.5524368286e-05,   -1.1682510376e-05,   -2.1696090698e-05,   -5.7220458984e-06,   -1.1682510376e-05,    0.0000000000e+00,   -5.6624412537e-06,
    3.2499998808e-02,   -1.6689300537e-05,   -1.6212463379e-05,   -1.6212463379e-05,   -1.5735626221e-05,   -1.5735626221e-05,   -1.5258789062e-05,   -1.4781951904e-05,   -1.4781951904e-05,   -1.3828277588e-05,   -1.5258789062e-05,   -1.0967254639e-05,   -2.1457672119e-05,   -2.0980834961e-05,   -3.6239624023e-05,   -4.0054321289e-05,   -6.9141387939e-05,   -7.1048736572e-05,   -1.0156631470e-04,   -1.0299682617e-04,   -1.2922286987e-04,   -1.2588500977e-04,   -1.0204315186e-04,   -1.0108947754e-04,   -7.1525573730e-05,   -7.1048736572e-05,   -4.1961669922e-05,   -3.8623809814e-05,   -1.8119812012e-05,   -1.9073486328e-05,   -1.3828277588e-05,   -1.5258789062e-05,   -1.3828277588e-05,   -1.4305114746e-05,   -1.4781951904e-05,   -1.4781951904e-05,   -1.5735626221e-05,   -1.5735626221e-05,   -1.6689300537e-05,   -1.6689300537e-05,   -1.7166137695e-05,   -5.3644180298e-06,    0.0000000000e+00,   -1.0848045349e-05,   -5.4240226746e-06,   -2.0027160645e-05,   -1.0967254639e-05,   -3.1948089600e-05,   -2.0623207092e-05,   -4.4822692871e-05,   -2.9563903809e-05,   -6.9141387939e-05,   -4.9352645874e-05,   -7.4386596680e-05,   -5.3167343140e-05,   -1.0728836060e-04,   -8.7261199951e-05,   -1.0681152344e-04,   -9.7274780273e-05,   -1.0585784912e-04,   -1.0633468628e-04,   -9.5844268799e-05,   -1.0585784912e-04,   -8.4400177002e-05,   -1.0538101196e-04,   -5.0544738770e-05,   -7.1525573730e-05,   -5.0544738770e-05,   -6.7234039307e-05,   -3.2186508179e-05,   -4.6730041504e-05,   -2.2053718567e-05,   -3.5047531128e-05,   -1.1324882507e-05,   -2.1219253540e-05,   -5.4836273193e-06,   -1.1205673218e-05,    0.0000000000e+00,   -5.4240226746e-06,
    3.5000000149e-02,   -1.0967254639e-05,   -1.1444091797e-05,   -1.1444091797e-05,   -1.2397766113e-05,   -1.1920928955e-05,   -1.2874603271e-05,   -1.2874603271e-05,   -1.4305114746e-05,   -1.3351440430e-05,   -1.7642974854e-05,   -1.3828277588e-05,   -2.5272369385e-05,   -2.4795532227e-05,   -3.8146972656e-05,   -4.1484832764e-05,   -6.0558319092e-05,   -6.1988830566e-05,   -8.2492828369e-05,   -8.3446502686e-05,   -1.0204315186e-04,   -9.8705291748e-05,   -8.1062316895e-05,   -8.0585479736e-05,   -6.1035156250e-05,   -6.0558319092e-05,   -4.1007995605e-05,   -3.8623809814e-05,   -2.3841857910e-05,   -2.4795532227e-05,   -1.5258789062e-05,   -1.7166137695e-05,   -1.4305114746e-05,   -1.4305114746e-05,   -1.2874603271e-05,   -1.3351440430e-05,   -1.2397766113e-05,   -1.2397766113e-05,   -1.1920928955e-05,   -1.1920928955e-05,   -1.0967254639e-05,   -5.7220458984e-06,    0.0000000000e+00,   -1.1444091797e-05,   -5.7220458984e-06,   -2.0623207092e-05,   -1.1563301086e-05,   -3.2424926758e-05,   -2.1338462830e-05,   -4.4345855713e-05,   -3.0040740967e-05,   -6.6280364990e-05,   -4.9352645874e-05,   -6.5326690674e-05,   -5.0306320190e-05,   -8.9645385742e-05,   -7.7724456787e-05,   -8.1062316895e-05,   -7.8678131104e-05,   -7.9154968262e-05,   -8.0108642578e-05,   -7.5817108154e-05,   -7.9631805420e-05,   -7.3432922363e-05,   -8.6307525635e-05,   -4.6491622925e-05,   -6.1035156250e-05,   -4.9829483032e-05,   -6.3180923462e-05,   -3.2186508179e-05,   -4.5537948608e-05,   -2.2411346436e-05,   -3.4809112549e-05,   -1.1682510376e-05,   -2.1457672119e-05,   -5.6624412537e-06,   -1.1563301086e-05,    0.0000000000e+00,   -5.6028366089e-06,
    3.7500001490e-02,   -1.9073486328e-05,   -1.8119812012e-05,   -1.8119812012e-05,   -1.7166137695e-05,   -1.7166137695e-05,   -1.6212463379e-05,   -1.6212463379e-05,   -1.5735626221e-05,   -1.4781951904e-05,   -1.5258789062e-05,   -1.1444091797e-05,   -1.8596649170e-05,   -1.8119812012e-05,   -2.7656555176e-05,   -3.0994415283e-05,   -4.6730041504e-05,   -4.8160552979e-05,   -6.5803527832e-05,   -6.6757202148e-05,   -8.5830688477e-05,   -8.2969665527e-05,   -6.6280364990e-05,   -6.5803527832e-05,   -4.8637390137e-05,   -4.8637390137e-05,   -3.2424926758e-05,   -3.0517578125e-05,   -1.7642974854e-05,   -1.8596649170e-05,   -1.3828277588e-05,   -1.5735626221e-05,   -1.5735626221e-05,   -1.5735626221e-05,   -1.6212463379e-05,   -1.6212463379e-05,   -1.7166137695e-05,   -1.6689300537e-05,   -1.7166137695e-05,   -1.7166137695e-05,   -1.7642974854e-05,   -4.5895576477e-06,    0.0000000000e+00,   -9.1791152954e-06,   -4.5895576477e-06,   -1.6450881958e-05,   -9.1791152954e-06,   -2.5987625122e-05,   -1.7166137695e-05,   -3.5524368286e-05,   -2.3603439331e-05,   -5.4836273193e-05,   -4.0531158447e-05,   -5.1498413086e-05,   -3.8862228394e-05,   -7.3432922363e-05,   -6.3419342041e-05,   -6.4373016357e-05,   -6.2465667725e-05,   -6.3419342041e-05,   -6.3419342041e-05,   -6.1511993408e-05,   -6.3896179199e-05,   -6.1511993408e-05,   -7.2479248047e-05,   -3.6478042603e-05,   -4.9114227295e-05,   -4.1961669922e-05,   -5.3405761719e-05,   -2.6702880859e-05,   -3.7908554077e-05,   -1.8835067749e-05,   -2.9563903809e-05,   -9.7751617432e-06,   -1.8000602722e-05,   -4.7683715820e-06,   -9.6559524536e-06,    0.0000000000e+00,   -4.7683715820e-06,
    3.9999999106e-02,   -1.7166137695e-05,   -1.6689300537e-05,   -1.6689300537e-05,   -1.5735626221e-05,   -1.5735626221e-05,   -1.5258789062e-05,   -1.4781951904e-05,   -1.4305114746e-05,   -1.3351440430e-05,   -1.3828277588e-05,   -1.0013580322e-05,   -1.7166137695e-05,   -1.6689300537e-05,   -2.5749206543e-05,   -2.9563903809e-05,   -4.7206878662e-05,   -4.8637390137e-05,   -6.9141387939e-05,   -7.0095062256e-05,   -9.0599060059e-05,   -8.7738037109e-05,   -6.9141387939e-05,   -6.8664550781e-05,   -4.9114227295e-05,   -4.8637390137e-05,   -3.0994415283e-05,   -2.9087066650e-05,   -1.5258789062e-05,   -1.6212463379e-05,   -1.2397766113e-05,   -1.4305114746e-05,   -1.3828277588e-05,   -1.4305114746e-05,   -1.5258789062e-05,   -1.5258789062e-05,   -1.5735626221e-05,   -1.5735626221e-05,   -1.6689300537e-05,   -1.6689300537e-05,   -1.7166137695e-05,   -4.2319297791e-06,    0.0000000000e+00,   -8.5830688477e-06,   -4.2915344238e-06,   -1.5735626221e-05,   -8.7022781372e-06,   -2.5272369385e-05,   -1.6450881958e-05,   -3.4809112549e-05,   -2.2649765015e-05,   -5.4359436035e-05,   -3.9577484131e-05,   -5.1975250244e-05,   -3.8146972656e-05,   -7.5817108154e-05,   -6.4373016357e-05,   -6.8664550781e-05,   -6.5326690674e-05,   -6.7234039307e-05,   -6.7710876465e-05,   -6.3419342041e-05,   -6.7710876465e-05,   -6.1511993408e-05,   -7.4386596680e-05,   -3.5762786865e-05,   -4.9114227295e-05,   -4.1007995605e-05,   -5.2690505981e-05,   -2.5749206543e-05,   -3.6716461182e-05,   -1.8239021301e-05,   -2.8610229492e-05,   -9.4175338745e-06,   -1.7404556274e-05,   -4.5895576477e-06,   -9.2983245850e-06,    0.0000000000e+00,   -4.5299530029e-06,
    4.2500000447e-02,   -1.1444091797e-05,   -1.1920928955e-05,   -1.1920928955e-05,   -1.2397766113e-05,   -1.2397766113e-05,   -1.2874603271e-05,   -1.2874603271e-05,   -1.4781951904e-05,   -1.3828277588e-05,   -1.7642974854e-05,   -1.3828277588e-05,   -2.5272369385e-05,   -2.4795532227e-05,   -3.8623809814e-05,   -4.2438507080e-05,   -6.2465667725e-05,   -6.3896179199e-05,   -8.5353851318e-05,   -8.6307525635e-05,   -1.0538101196e-04,   -1.0204315186e-04,   -8.2969665527e-05,   -8.2492828369e-05,   -6.1511993408e-05,   -6.1035156250e-05,   -4.1484832764e-05,   -3.9577484131e-05,   -2.3841857910e-05,   -2.4318695068e-05,   -1.4305114746e-05,   -1.6212463379e-05,   -1.4305114746e-05,   -1.4305114746e-05,   -1.3351440430e-05,   -1.3351440430e-05,   -1.2397766113e-05,   -1.2874603271e-05,   -1.1920928955e-05,   -1.1920928955e-05,   -1.1444091797e-05,   -5.7220458984e-06,    0.0000000000e+00,   -1.1444091797e-05,   -5.7220458984e-06,   -2.0742416382e-05,   -1.1563301086e-05,   -3.2663345337e-05,   -2.1457672119e-05,   -4.5061111450e-05,   -3.0279159546e-05,   -6.7472457886e-05,   -5.0067901611e-05,   -6.7234039307e-05,   -5.1498413086e-05,   -9.2506408691e-05,   -7.9631805420e-05,   -8.4400177002e-05,   -8.1539154053e-05,   -8.2015991211e-05,   -8.3446502686e-05,   -7.7724456787e-05,   -8.2492828369e-05,   -7.4386596680e-05,   -8.8214874268e-05,   -4.6968460083e-05,   -6.1988830566e-05,   -5.0067901611e-05,   -6.3896179199e-05,   -3.2186508179e-05,   -4.5776367188e-05,   -2.2172927856e-05,   -3.4809112549e-05,   -1.1563301086e-05,   -2.1338462830e-05,   -5.6028366089e-06,   -1.1444091797e-05,    0.0000000000e+00,   -5.5432319641e-06,
    4.5000001788e-02,   -1.6689300537e-05,   -1.6689300537e-05,   -1.6689300537e-05,   -1.6212463379e-05,   -1.6212463379e-05,   -1.6212463379e-05,   -1.5735626221e-05,   -1.6212463379e-05,   -1.5258789062e-05,   -1.7642974854e-05,   -1.3351440430e-05,   -2.4318695068e-05,   -2.3841857910e-05,   -4.0054321289e-05,   -4.3869018555e-05,   -6.8664550781e-05,   -7.0571899414e-05,   -9.7751617432e-05,   -9.9182128906e-05,   -1.2350082397e-04,   -1.2063980103e-04,   -9.8705291748e-05,   -9.7751617432e-05,   -7.1048736572e-05,   -7.0571899414e-05,   -4.4822692871e-05,   -4.2915344238e-05,   -2.0980834961e-05,   -2.1934509277e-05,   -1.5735626221e-05,   -1.7166137695e-05,   -1.6212463379e-05,   -1.6212463379e-05,   -1.6212463379e-05,   -1.6212463379e-05,   -1.6212463379e-05,   -1.6212463379e-05,   -1.6212463379e-05,   -1.6212463379e-05,   -1.6212463379e-05,   -5.6624412537e-06,    0.0000000000e+00,   -1.1563301086e-05,   -5.7220458984e-06,   -2.1100044250e-05,   -1.1563301086e-05,   -3.3140182495e-05,   -2.1696090698e-05,   -4.6253204346e-05,   -3.0755996704e-05,   -7.0095062256e-05,   -5.1021575928e-05,   -7.3432922363e-05,   -5.4121017456e-05,   -1.0395050049e-04,   -8.6307525635e-05,   -1.0108947754e-04,   -9.3936920166e-05,   -1.0013580322e-04,   -1.0061264038e-04,   -9.2506408691e-05,   -1.0061264038e-04,   -8.3923339844e-05,   -1.0251998901e-04,   -5.1736831665e-05,   -7.0571899414e-05,   -5.2213668823e-05,   -6.8426132202e-05,   -3.3617019653e-05,   -4.8160552979e-05,   -2.2888183594e-05,   -3.6239624023e-05,   -1.1801719666e-05,   -2.2053718567e-05,   -5.7220458984e-06,   -1.1682510376e-05,    0.0000000000e+00,   -5.6624412537e-06,
    4.7499999404e-02,   -1.5258789062e-05,   -1.5258789062e-05,   -1.5258789062e-05,   -1.4781951904e-05,   -1.4781951904e-05,   -1.4781951904e-05,   -1.4781951904e-05,   -1.5258789062e-05,   -1.4305114746e-05,   -1.6689300537e-05,   -1.2874603271e-05,   -2.2411346436e-05,   -2.1934509277e-05,   -3.4332275391e-05,   -3.8146972656e-05,   -5.7220458984e-05,   -5.8650970459e-05,   -8.0108642578e-05,   -8.1539154053e-05,   -1.0204315186e-04,   -9.8705291748e-05,   -8.0108642578e-05,   -7.9631805420e-05,   -5.9604644775e-05,   -5.9127807617e-05,   -3.9577484131e-05,   -3.7670135498e-05,   -2.2411346436e-05,   -2.3365020752e-05,   -1.4781951904e-05,   -1.6689300537e-05,   -1.5258789062e-05,   -1.5735626221e-05,   -1.5258789062e-05,   -1.5258789062e-05,   -1.5258789062e-05,   -1.5258789062e-05,   -1.4781951904e-05,   -1.4781951904e-05,   -1.4781951904e-05,   -5.2452087402e-06,    0.0000000000e+00,   -1.0490417480e-05,   -5.2452087402e-06,   -1.8954277039e-05,   -1.0609626770e-05,   -3.0040740967e-05,   -1.9669532776e-05,   -4.1246414185e-05,   -2.7656555176e-05,   -6.2465667725e-05,   -4.6014785767e-05,   -6.1511993408e-05,   -4.6491622925e-05,   -8.6784362793e-05,   -7.3909759521e-05,   -8.0108642578e-05,   -7.6293945312e-05,   -7.9154968262e-05,   -7.9631805420e-05,   -7.4863433838e-05,   -7.9631805420e-05,   -7.2002410889e-05,   -8.5353851318e-05,   -4.4822692871e-05,   -5.9604644775e-05,   -4.8160552979e-05,   -6.1511993408e-05,   -3.0994415283e-05,   -4.3869018555e-05,   -2.1338462830e-05,   -3.3617019653e-05,   -1.1086463928e-05,   -2.0503997803e-05,   -5.3644180298e-06,   -1.0967254639e-05,    0.0000000000e+00,   -5.3048133850e-06,
    5.0000000745e-02,   -1.3828277588e-05,   -1.3828277588e-05,   -1.3828277588e-05,   -1.3351440430e-05,   -1.3351440430e-05,   -1.3351440430e-05,   -1.2874603271e-05,   -1.2874603271e-05,   -1.1920928955e-05,   -1.3351440430e-05,   -9.5367431641e-06,   -1.7642974854e-05,   -1.7166137695e-05,   -2.7179718018e-05,   -3.0517578125e-05,   -4.6253204346e-05,   -4.7683715820e-05,   -6.5326690674e-05,   -6.6280364990e-05,   -8.4877014160e-05,   -8.1539154053e-05,   -6.3896179199e-05,   -6.3896179199e-05,   -4.6253204346e-05,   -4.6253204346e-05,   -3.0517578125e-05,   -2.8610229492e-05,   -1.5735626221e-05,   -1.6689300537e-05,   -1.1444091797e-05,   -1.3351440430e-05,   -1.2874603271e-05,   -1.2874603271e-05,   -1.3351440430e-05,   -1.3351440430e-05,   -1.3351440430e-05,   -1.3351440430e-05,   -1.3828277588e-05,   -1.3828277588e-05,   -1.3828277588e-05,   -4.5299530029e-06,    0.0000000000e+00,   -9.0599060059e-06,   -4.5895576477e-06,   -1.6212463379e-05,   -9.0599060059e-06,   -2.5749206543e-05,   -1.6927719116e-05,   -3.5285949707e-05,   -2.3365020752e-05,   -5.4597854614e-05,   -4.0292739868e-05,   -5.1021575928e-05,   -3.8385391235e-05,   -7.2956085205e-05,   -6.2942504883e-05,   -6.3419342041e-05,   -6.1988830566e-05,   -6.1511993408e-05,   -6.2465667725e-05,   -5.9127807617e-05,   -6.2465667725e-05,   -5.9127807617e-05,   -7.0095062256e-05,   -3.4570693970e-05,   -4.6730041504e-05,   -4.0531158447e-05,   -5.1498413086e-05,   -2.5510787964e-05,   -3.6478042603e-05,   -1.7881393433e-05,   -2.8133392334e-05,   -9.1791152954e-06,   -1.7046928406e-05,   -4.4703483582e-06,   -9.0599060059e-06,    0.0000000000e+00,   -4.4107437134e-06,
    5.2499998361e-02,   -1.9073486328e-05,   -1.8119812012e-05,   -1.8596649170e-05,   -1.7642974854e-05,   -1.7642974854e-05,   -1.7166137695e-05,   -1.6689300537e-05,   -1.6212463379e-05,   -1.5735626221e-05,   -1.6212463379e-05,   -1.2397766113e-05,   -2.0027160645e-05,   -1.9550323486e-05,   -3.0040740967e-05,   -3.3378601074e-05,   -5.1021575928e-05,   -5.2452087402e-05,   -7.2479248047e-05,   -7.3909759521e-05,   -9.3460083008e-05,   -9.0122222900e-05,   -7.1048736572e-05,   -7.0571899414e-05,   -5.1021575928e-05,   -5.1021575928e-05,   -3.2901763916e-05,   -3.1471252441e-05,   -1.7166137695e-05,   -1.8119812012e-05,   -1.4305114746e-05,   -1.5735626221e-05,   -1.5735626221e-05,   -1.6212463379e-05,   -1.6689300537e-05,   -1.6689300537e-05,   -1.7642974854e-05,   -1.7642974854e-05,   -1.8119812012e-05,   -1.8119812012e-05,   -1.8596649170e-05,   -4.6491622925e-06,    0.0000000000e+00,   -9.5367431641e-06,   -4.7087669373e-06,   -1.7285346985e-05,   -9.5367431641e-06,   -2.7418136597e-05,   -1.7881393433e-05,   -3.7431716919e-05,   -2.4795532227e-05,   -5.7458877563e-05,   -4.2438507080e-05,   -5.5313110352e-05,   -4.1484832764e-05,   -7.9631805420e-05,   -6.7710876465e-05,   -7.1525573730e-05,   -6.8664550781e-05,   -6.9618225098e-05,   -7.1048736572e-05,   -6.5803527832e-05,   -7.0571899414e-05,   -6.3419342041e-05,   -7.6293945312e-05,   -3.7670135498e-05,   -5.1021575928e-05,   -4.2676925659e-05,   -5.4597854614e-05,   -2.7179718018e-05,   -3.8623809814e-05,   -1.9073486328e-05,   -3.0040740967e-05,   -9.7751617432e-06,   -1.8119812012e-05,   -4.7683715820e-06,   -9.7751617432e-06,    0.0000000000e+00,   -4.7087669373e-06,
    5.4999999702e-02,   -1.3351440430e-05,   -1.3351440430e-05,   -1.3351440430e-05,   -1.3828277588e-05,   -1.3828277588e-05,   -1.4305114746e-05,   -1.4305114746e-05,   -1.5258789062e-05,   -1.4305114746e-05,   -1.7642974854e-05,   -1.3828277588e-05,   -2.4795532227e-05,   -2.4318695068e-05,   -3.8146972656e-05,   -4.1961669922e-05,   -6.2942504883e-05,   -6.4373016357e-05,   -8.7738037109e-05,   -8.8691711426e-05,   -1.0967254639e-04,   -1.0633468628e-04,   -8.7261199951e-05,   -8.6784362793e-05,   -6.4849853516e-05,   -6.4373016357e-05,   -4.3392181396e-05,   -4.1484832764e-05,   -2.4318695068e-05,   -2.5272369385e-05,   -1.5735626221e-05,   -1.7166137695e-05,   -1.5258789062e-05,   -1.5735626221e-05,   -1.4305114746e-05,   -1.4781951904e-05,   -1.3828277588e-05,   -1.3828277588e-05,   -1.3351440430e-05,   -1.3351440430e-05,   -1.2874603271e-05,   -5.7220458984e-06,    0.0000000000e+00,   -1.1444091797e-05,   -5.7816505432e-06,   -2.0742416382e-05,   -1.1563301086e-05,   -3.2663345337e-05,   -2.1338462830e-05,   -4.4822692871e-05,   -3.0279159546e-05,   -6.7234039307e-05,   -4.9829483032e-05,   -6.7710876465e-05,   -5.1259994507e-05,   -9.3936920166e-05,   -8.0108642578e-05,   -8.7738037109e-05,   -8.3446502686e-05,   -8.6307525635e-05,   -8.7261199951e-05,   -8.2015991211e-05,   -8.7261199951e-05,   -7.7247619629e-05,   -9.2029571533e-05,   -4.9114227295e-05,   -6.4849853516e-05,   -5.1498413086e-05,   -6.5803527832e-05,   -3.3378601074e-05,   -4.7206878662e-05,   -2.2888183594e-05,   -3.6001205444e-05,   -1.1920928955e-05,   -2.2053718567e-05,   -5.7816505432e-06,   -1.1801719666e-05,    0.0000000000e+00,   -5.7220458984e-06,
    5.7500001043e-02,   -1.2874603271e-05,   -1.2874603271e-05,   -1.2874603271e-05,   -1.2874603271e-05,   -1.2874603271e-05,   -1.2874603271e-05,   -1.2874603271e-05,   -1.3351440430e-05,   -1.2397766113e-05,   -1.5258789062e-05,   -1.1444091797e-05,   -2.2888183594e-05,   -2.2411346436e-05,   -3.8623809814e-05,   -4.2438507080e-05,   -6.6280364990e-05,   -6.8187713623e-05,   -9.4890594482e-05,   -9.6321105957e-05,   -1.2016296387e-04,   -1.1682510376e-04,   -9.4890594482e-05,   -9.4413757324e-05,   -6.8664550781e-05,   -6.8187713623e-05,   -4.3392181396e-05,   -4.1484832764e-05,   -2.0503997803e-05,   -2.1457672119e-05,   -1.3828277588e-05,   -1.5258789062e-05,   -1.3351440430e-05,   -1.3828277588e-05,   -1.3351440430e-05,   -1.3351440430e-05,   -1.3351440430e-05,   -1.3351440430e-05,   -1.2874603271e-05,   -1.2874603271e-05,   -1.2874603271e-05,   -5.5432319641e-06,    0.0000000000e+00,   -1.1205673218e-05,   -5.6028366089e-06,   -2.0384788513e-05,   -1.1205673218e-05,   -3.2186508179e-05,   -2.0980834961e-05,   -4.5061111450e-05,   -2.9802322388e-05,   -6.8664550781e-05,   -4.9829483032e-05,   -7.1525573730e-05,   -5.2690505981e-05,   -1.0061264038e-04,   -8.3923339844e-05,   -9.7751617432e-05,   -9.0599060059e-05,   -9.6321105957e-05,   -9.7274780273e-05,   -8.9168548584e-05,   -9.6797943115e-05,   -8.1062316895e-05,   -9.9182128906e-05,   -5.0067901611e-05,   -6.8187713623e-05,   -5.1021575928e-05,   -6.6757202148e-05,   -3.2663345337e-05,   -4.6968460083e-05,   -2.2292137146e-05,   -3.5285949707e-05,   -1.1444091797e-05,   -2.1457672119e-05,   -5.5432319641e-06,   -1.1324882507e-05,    0.0000000000e+00,   -5.4836273193e-06,
